video_id,penulis,tanggal,like_count,teks
mjxZeyIYeNo,@radonmusic5119,2025-06-23 14:18:19+00:00,1,"Sejak presiden yang terpilih juga mafia tambang, maka kita ini sudah memasuki era dimana daerah yang bisa ditambang akan ada perusahaan yang melakukan pertambangan, itu yang saya amati sekarang di daerah Sulawesi tenggara dan Morowali. Pantai2 disekitaran area smelter dan kapal tongkang udah berubah air lautnya berwarna coklat."
mjxZeyIYeNo,@ElAnbeya_VThirty,2025-06-23 13:58:56+00:00,0,"Gw gak ada masalah dengan sudut pandang green peace, mereka konsisten edukasi masyarakat agar sadar pentingnya pemeliharaan lingkungan jangka panjang dgn menjelaskan fakta aktivitas mining hanya bermanfaat sementara namun dampak kerusakannya gak hanya dirasakan generasi sekarang tapi juga generasi mendatang dengan bahasa yang mudah dipahami masyarakat akar rumput.

Namun ketika melihat gus ulis segitunya melakukan pembenaran saya mencoba menganalisis dgn sudut pandang empatik sedikit saja, memang menyedihkan ada satu fakta yang jarang dipahami, kerusakan lingkungan saat ini dilakukan oleh tambang yang dikuasai elit oligarki (sejak orde baru) dimana sejak awal harusnya punya efek untuk pemerataan kesejahteraan masyarakat seperti UEA dan Brunei Darussalam namun kenyataannya tidak, begitupula dengan nihilnya kebijakan yg punya prioritas pemerataan kualitas pendidikan juga tidak terjadi, akibatnya SDM indonesia generasi baru terluntah2 perekonomiannya, banyak masyarakat terutama dari kalangan Ormas besar (NU dan muhammadiyah) yang sejak awal punya kontribusi terhadap kemerdekaan Indonesia makin termarginalkan secara ekonomi, mungkin dalam gambaran besarnya seolah pembangunan sentris di jawa sejak orde baru tapi lagi-lagi fakta pemanfaatan sumber daya alam hanya dimonopoli oleh elit oligarki bukan sepenuhnya masyarakat jawa, makanya masih banyak juga kemiskinan di provinsi jawa khususnya jateng dan jatim, kesalahan besarnya kebijakan2 era orde baru yang tidak mengakomodasi perekonomian jangka panjang untuk pemerataan kesejahteraan rakyat beserta pemerataan kualitas pendidikannya, khususnya hak setiap provinsi termasuk papua, kalimantan,dll

Menurut saya harusnya sejak awal tokoh2 masyarakat adat dan ormas besar yang punya jejak sejarah kontribusi terhadap kemerdekaan terlibat dalam pemeliharaan lingkungan dan aktivitas mining untuk pondasi kepentingan ekonomi awal dan di upayakan pemerataan kesejahteraan masyarakat hingga akar rumput merasakannya termasuk kebijakan2 prioritas pemerataan kualitas pendidikan dan subsidi pendidikan perguruan tinggi agar bisa di akses merata kelas menengah-bawah,  nantinya dalam pengelolaan sumber daya alam tetap memperhatikan AMDAL dengan ketat sesuai moral maslahatnya dan dalam jangka waktu dimana sudah ada efek pemerataan kesejahteraan atau pondasi ekonomi sudah matang baru bisa melakukan pertobatan ekologis dan concern ke kebijakan yang mendukung energi terbarukan dan lakukan penanaman pohon kembali secara masif di semua bekas area tambang."
mjxZeyIYeNo,@rinoadipratomo1179,2025-06-23 10:39:04+00:00,1,"Setiap buka sosmed dan media informasi berita manapun ada aja hari demi hari nya pemerintah itu mengeluarkan kebijakan yang wadidaw, kadang gua berfikir hal ini tuh terjadi apa karena otak gua yang gak nyampe berfikir sampe kesana (bego) apa emang pemerintahnya yang tidak pintar?"
mjxZeyIYeNo,@Suheri-k7j,2025-06-23 08:47:41+00:00,1,Mana nih yang kemarin bilang menolak tambang adalah SDM rendah?
mjxZeyIYeNo,@iniq5470,2025-06-23 08:32:09+00:00,0,"Kalau ekosistem sudah rosak air rusak, udara, rusak, vegetasi rusak kamu mau makan apa bogen makan nikel? makan listrik? makan emas? Emangnya semua itu bisa di makan."
mjxZeyIYeNo,@penikmatyoutube367,2025-06-23 07:58:44+00:00,0,"Sudah waktunya diskusi ini dibersihkan dari kabut logika sesat dan dikembalikan pada nurani.

Raja Ampat bukan tanah kosong, tapi rumah yang hidup. Dan rumah tidak layak dijadikan ladang bisnis jangka pendek demi kepentingan segelintir elite."
mjxZeyIYeNo,@ridhorifaldi_,2025-06-23 06:37:36+00:00,0,"Warga riau ada Minyak, Gas, dan Batu bara. 3 SDA besar tapi tidak pernah bisa mengejar ketertinggalan pembangunan di ibu kota dan provinsi yang ada di pulau JAWA. DBH sebagai ganti rugi karena SDA daerah di keruk 😂😂😂. Jadi ingat saat bupati dari Kep. Meranti meminta mana data pendapatan SDA kami yang di keruk? kepada menteri ekonomi. Eh besoknya di culik malam 😂😂😂. Ku kira sudah reformasi tapi masih ORBA 2.0 pulak 😂😂😂."
mjxZeyIYeNo,@ficopratama9525,2025-06-23 05:34:51+00:00,1,"rusak sekali tata kelola negara ini ya. mereka rapat2 bahas apa sih? kayaknya lebih lengkap data dan analisisnya bang Ferry. padahal pemerintah punya tim ahli, peneliti, penasehat, dll. lengkap. tapi keputusan selalu di ambil oleh orang2 atas yang bodoh akan data dan pengambilan keputusan yang salah."
mjxZeyIYeNo,@lucifersatan3903,2025-06-23 05:33:19+00:00,0,Makin kesini makin terlihat bobrok nya kebijakan pemerintahan sebelumnya yg bagi bagi kekuasaan😂😂😂😂
mjxZeyIYeNo,@spenc3rr,2025-06-23 05:22:41+00:00,1,"kalo guru gembul lebih menohok lagi, dia langsung bilang ""justru NU yang wahabi"" dan sedang memainkan peran nya disini.. klo itung2an bang ferry untuk future return dari raja ampat kalau tdk menjadi konsesi tambang, itu belum pasti menurut gw.. bisa segitu bisa di bawah itu.. siapa tau ada daerah lain yg tb tb hype.. orang jd ga mau ke raja ampat lagi.. tp fokus nya bukan disitu.. fokus nya adalah kekonyolan statement Gus Ulil yg mempertanyakan utk apa mengembalikan ekosistem ke kondisi awal? gila kali dia ga pny anak cucu ya?"
mjxZeyIYeNo,@anasklender2740,2025-06-23 03:44:25+00:00,1,"NU agama doktrin.
Nggak mau ikut yang tampak dari teks. Yang dipakai adalah pemahaman yang diklaim dibangun diatas teks.
Ulil pernah bilang bahwa NU itu bengkok, bila lurus itu Wahabi.
Yang tampak dari teks itu adalah ilmu, yang tersirat itu ilmu yang dalam, tapi bila sudah bertentangan dengan yang tampak, itu adalah kesesatan. Menolak teks lewat jalan sok lebih paham.
Menolak teks itu kurf besar"
mjxZeyIYeNo,@oseramaylandasundari4441,2025-06-23 03:28:21+00:00,0,"Gua masyarakat Riau, dari kecil gua lihat langsung gimana efek negative dan gimana rusaknya pasca tambang. Semua yang di utarakan bang Ferry menjawab 7 point tersebut 100% fakta. Aktifitas tambang berhenti sejak 15 tahun yang lalu tapi kerusakannya sampai saat ini banjir, abrasi diarea sungai bahkan jalan. Air sudah tercemar oleh zat kimia lain yang kalau di konsumsi hasil sungainya menimbulkan bahaya jangka panjang
Lalu soal ekonomi, setiap tahun gua nemuin fakta pimpinan yang korup, rakyatnya? Ya gitu-gitu aja mereka mau sukses harus berjuang sendiri dampak sosialnya berasa banget. Berkali-kali masyarakat protes sampai akhirnya mereka capek dan bungkam ini yang bahaya bagi gua.
Dan buat lu bro ASN yang komentar, mungkin Lo rasain dampaknya karena Lo ASN tapi Lo harus tau gaji Lo gak seberapa dari pada kerugian masyaallah lain. So, lebih baik diam dan cari tau dari pada Lo komentar tapi gak cek sesuai faktanya atau mungkin Lo milih gak mau cek aja sih. 
Jangan arogan saat Lo jadi ASN tanggung jawab Lo berat bro dunia akhirat"
mjxZeyIYeNo,@kuncororisantoso9516,2025-06-23 03:23:29+00:00,1,"Saya sngt menyayangkan Raja ampat, tapi kenapa Orang2 seheboh itu maksutku kalau anda benar2 pecinta lingkungan Harusnya ketika hutan kalimantan di rusak itu lebih murka lagi karena itu merupakan salah satu hutan terbesar... saya kira Orang lebih HEBOH bukan sebagai pencinta lingkungan .. Tapi sebagai Penikmat lingkungan, Gue berani jamin seandainya raja ampat viewnya jelek namun banyak pohon ekosistem di bikin tambang pun gak bakal seheboh ini..Se diskriminasi inikah Pikiran "" pecinta lingkungan """
mjxZeyIYeNo,@masarifmuhammads9727,2025-06-23 02:21:48+00:00,2,"Hilirisasi yg pejabat bilang = keruk semua nikel mentah untuk dijual murah ke China, China bisa bikin batre EV kita cuma bengong dapet galian tanah raksasa dan limbah yg kemana2"
mjxZeyIYeNo,@adebrianperdana1208,2025-06-23 01:35:15+00:00,15,"Ada2 aja orang yang bisa nganggap reklamasi tambang bisa mengembalikan lingkungan yg ditambang seperti semula wkwkw. Aku kerja di bidang jasa lingkungan dan sedikit tau apa aja yg dituangkan di dalam dokumen lingkungan untuk mereklamasi tambang, tapi kalau dibaca kembali apakah tanaman pengganti yang ditanam bisa mengembalikan keanekaragaman hayati  yang sudah di hancur ketika membuka tambang?. Apakah membuat jalur migrasi satwa akan semudah itu? ibarat kita mengusir penghuni rumah dari rumahnya sendiri. Percaya lah teman2 mereklamasi tambang tidak akan mengembalikan lingkungan seperti sedia kala karna hanya buatan manusia dan bagi satwa pun akan terasa asing karna itu bukan habitat mereka yang dulu. Belum lagi dampak yang dirasakan masyarakat, jujur menurutku lebih banyak minusnya daripada positifnya. Semoga raja ampat tetap aman dan bisa kita nikmati hingga anak cucu kita kelak."
mjxZeyIYeNo,@agussujarwo1501,2025-06-23 01:28:14+00:00,2,"Content Bang Ferry sangat bermanfaat dengan kebanyakan orang tapi percuma Bang adu argument dengan kelompok NU alias Nickel United, hal sederhana buang sampah saja mereka sembarangan..."
mjxZeyIYeNo,@luhun9,2025-06-23 00:20:05+00:00,1,salah satu contohnya kota kalimantan yang habis kena pertambangan dan lucu nya dibilang wahabi lingkungan bagi yang menolak tersebut
mjxZeyIYeNo,@infuderr.h.4478,2025-06-23 00:12:31+00:00,1,"Termul emang TOLOL semua nya

Dan si HAMA JOKODOg daya hancur nya besar"
mjxZeyIYeNo,@rezatechid,2025-06-22 23:02:35+00:00,0,memang bodoh om hancur semua.
mjxZeyIYeNo,@gandiiswara5473,2025-06-22 22:57:20+00:00,0,"Ok, gw setuju sama poin2 lu, Uda Fer. Tadinya gw mendukung tambang di sana karena melihat tambang di Maluku bisa menghidupi puluhan ribu anak bangsa. Tapi karena poinnya Raja Ampat kandungan miningnya kecil, gw setuju mending eksplor daerah lain.

Cuma gw mau menghighlight buat pemirsa lain,  kalau di acara Rosi itu aktivis Greenpeace bilang dia anti mining sama sekali. Dia ingin kalau daerah tambang itu dikembalikan ke keadaan awal, which is itu gak mungkin dan gak realistis. Makanya Ulil nanya :"" Ngapain anda ingin mengembalikan ke kondisi awal?"""
mjxZeyIYeNo,@DhisyaFarm2019,2025-06-22 18:59:05+00:00,1,Kenapa Indeks Pembangunan Manusia Jakarta dengan jumlah uang yg banyak berbeda sedikit sekali dengan Yogyakarta dengan jumlah uang yg sedikit ? Bukankah ini menjadi bukti bahwa IPM dibangun tidak melulu dengan uang dan Yogyakarta yang Istimewa sudah membuktikan itu.
mjxZeyIYeNo,@danangprayogo5058,2025-06-22 18:02:10+00:00,1,"kalo gua sih sarannya buat orang dibalik ini semua, lain kali kalo milih pembicara stop lah pake boomers irasional macem gus ulil dan teman teman seangkatannya. meskipun kalian mungkin memang kebal hukum, tapi senggaknya kalian bisa juga menggait persepsi publik agar sejalan. cobalah liat publik sekarang, liat muka gus ulil aja udah muak"
mjxZeyIYeNo,@19.muhammadraflysiregar44,2025-06-22 16:46:15+00:00,2,VOC Belanda saja ga sampe nambang masif begini bisa kaya dari indonesia. Kita nambang masif tapi dampak tambangnya minim atau tidak ada bagi masyarakat sekitarnya. Setiap pidato mengatakan indonesia negara kaya akan biodiversitas tapi merusak hutan  dan laut tanpa ada persiapan. Menyalahkan perdagangan luar negeri atau kebijakan negara seperti singapura padahal pejabatnya yang ga mampu urus negara
